,ID,prepost,Start time,I think about climate change,I think the world's climate is changing,I'm worried about the effects of climate change on my community,I think it's too late to do anything about climate change,I know about the history of flooding in my community,I know what the government and local authority are doing to help my community to cope with climate change,I understand the difference between climate change mitigation and climate change adaptation,I think technology is the most important tool we have to help us to adapt to climate change,I think interactive maps are a useful tool for talking about and demonstrating the effects of climate change,Games are a good way to help us to imagine the effects of climate change,Imagining what our lives will be like in the future is a good way to discuss adaptation to climate change,I think that changing my own behaviour can help to limit the effects of climate change,deis
159,301,pre,2022-09-27 09:46:10,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Neutral,Disagree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,False
160,304,pre,2022-09-27 09:46:13,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Agree,False
161,303,pre,2022-09-27 09:46:15,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,False
162,309,pre,2022-09-27 09:46:22,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,False
163,307,pre,2022-09-27 09:46:23,Never,Definitely changing,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,False
164,305,pre,2022-09-27 09:46:26,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,False
165,310,pre,2022-09-27 09:46:29,Rarely,Definitely changing,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,False
166,308,pre,2022-09-27 09:46:31,Very often,Definitely changing,Very worried,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,False
167,315,pre,2022-09-27 09:46:31,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
168,306,pre,2022-09-27 09:46:32,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,False
169,302,pre,2022-09-27 09:46:40,Often,Probably changing,A little worried,Neutral,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,False
170,311,pre,2022-09-27 09:46:45,Never,Probably changing,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,False
171,313,pre,2022-09-27 09:46:48,Often,Definitely changing,Very worried,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,False
172,314,pre,2022-09-27 09:47:01,Never,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,False
173,312,pre,2022-09-27 09:47:28,Rarely,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,False
174,316,pre,2022-09-27 09:48:28,Never,Definitely changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Strongly disagree,False
175,317,pre,2022-09-27 09:57:03,Sometimes,Probably changing,A little worried,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,False
176,331,pre,2022-09-27 10:18:00,Never,Definitely changing,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Strongly disagree,True
177,323,pre,2022-09-27 10:19:30,Never,Probably not changing,Not worried at all,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,True
178,325,pre,2022-09-27 10:19:37,Rarely,Probably not changing,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,True
179,324,pre,2022-09-27 10:20:23,Sometimes,Definitely changing,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,True
180,320,pre,2022-09-27 10:20:38,Never,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Neutral,True
181,318,pre,2022-09-27 10:20:39,Rarely,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,True
182,319,pre,2022-09-27 10:20:49,Never,Maybe changing,Not worried at all,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,True
183,322,pre,2022-09-27 10:20:56,Rarely,Probably changing,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Neutral,True
184,321,pre,2022-09-27 10:20:58,Never,Maybe changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,True
185,326,pre,2022-09-27 10:23:26,Rarely,Definitely changing,Climate change isn't happening,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Agree,Strongly disagree,True
186,332,pre,2022-09-27 10:24:19,Sometimes,Definitely changing,Very worried,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,True
187,327,pre,2022-09-27 10:24:27,Never,Maybe changing,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,True
188,328,pre,2022-09-27 10:26:10,Never,Maybe changing,Not worried at all,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
189,330,pre,2022-09-27 10:26:12,Often,Definitely changing,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,True
190,329,pre,2022-09-27 10:28:01,Never,Probably not changing,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,True
191,333,pre,2022-09-27 10:34:09,Rarely,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,True
192,334,pre,2022-09-27 10:36:23,Rarely,Probably changing,A little worried,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,True
193,336,pre,2022-09-27 10:39:00,Rarely,Definitely changing,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Strongly agree,True
194,337,pre,2022-09-27 10:39:12,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Disagree,True
195,335,pre,2022-09-27 10:39:16,Rarely,Definitely changing,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,True
196,338,pre,2022-09-27 10:41:41,Sometimes,Definitely changing,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,True
197,346,pre,2022-09-28 09:10:34,Never,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,True
198,344,pre,2022-09-28 09:11:30,Often,Definitely changing,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Agree,True
199,347,pre,2022-09-28 09:11:32,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,True
200,351,pre,2022-09-28 09:11:59,Rarely,Maybe changing,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,True
201,350,pre,2022-09-28 09:12:00,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,True
202,345,pre,2022-09-28 09:12:20,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,True
203,343,pre,2022-09-28 09:12:23,Never,Definitely changing,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,True
204,349,pre,2022-09-28 09:13:10,Rarely,Probably changing,Not worried at all,Disagree,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,True
205,348,pre,2022-09-28 09:13:25,Often,Definitely changing,A little worried,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,True
206,352,pre,2022-09-28 09:20:04,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly agree,True
207,353,pre,2022-09-28 09:23:12,Never,Probably changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Disagree,True
208,354,pre,2022-09-28 09:23:41,Sometimes,Probably changing,A little worried,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,True
209,355,pre,2022-09-28 09:25:53,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,True
210,359,pre,2022-09-28 10:10:00,Often,Probably changing,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,True
211,356,pre,2022-09-28 10:10:23,Rarely,Definitely changing,Not worried at all,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,True
212,361,pre,2022-09-28 10:10:52,Often,Definitely changing,A little worried,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree,True
213,362,pre,2022-09-28 10:11:05,Rarely,Maybe changing,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Neutral,True
214,357,pre,2022-09-28 10:11:23,Sometimes,Definitely changing,A little worried,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
215,358,pre,2022-09-28 10:11:32,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,True
216,360,pre,2022-09-28 10:11:38,Sometimes,Definitely changing,Very worried,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree,True
217,363,pre,2022-09-28 10:11:56,Rarely,Maybe changing,A little worried,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,True
218,364,pre,2022-09-28 10:12:03,Sometimes,Definitely changing,A little worried,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,True
219,365,pre,2022-09-28 10:13:25,Sometimes,Probably changing,A little worried,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,True
220,366,pre,2022-09-28 10:13:26,Sometimes,Maybe changing,Neutral,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,True
221,368,pre,2022-09-28 10:14:34,Often,Definitely changing,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,True
222,367,pre,2022-09-28 10:23:42,Often,Definitely changing,A little worried,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,True
223,372,pre,2022-09-29 08:47:37,Very often,Definitely changing,Extremely worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
224,374,pre,2022-09-29 09:38:48,Often,Definitely changing,Very worried,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Agree,False
225,375,pre,2022-09-29 09:38:52,Often,Definitely changing,Very worried,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,False
226,373,pre,2022-09-29 09:38:56,Very often,Definitely changing,Extremely worried,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,False
227,386,pre,2022-09-29 09:39:05,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,False
228,377,pre,2022-09-29 09:39:27,Sometimes,Definitely changing,A little worried,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,False
229,378,pre,2022-09-29 09:39:36,Sometimes,Definitely changing,A little worried,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,False
230,385,pre,2022-09-29 09:39:40,Sometimes,Definitely changing,A little worried,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,False
231,380,pre,2022-09-29 09:39:41,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,False
232,382,pre,2022-09-29 09:39:42,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,False
233,376,pre,2022-09-29 09:39:51,Often,Definitely changing,A little worried,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,False
234,381,pre,2022-09-29 09:39:59,Often,Definitely changing,Very worried,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,False
235,384,pre,2022-09-29 09:40:07,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
236,388,pre,2022-09-29 09:40:11,Often,Definitely changing,A little worried,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,False
237,379,pre,2022-09-29 09:40:13,Often,Definitely changing,Very worried,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,False
238,387,pre,2022-09-29 09:40:16,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,Disagree,Agree,False
239,389,pre,2022-09-29 09:40:18,Often,Definitely changing,A little worried,Strongly disagree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,False
240,393,pre,2022-09-29 09:40:55,Sometimes,Probably changing,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,False
241,394,pre,2022-09-29 09:40:55,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,False
242,391,pre,2022-09-29 09:41:04,Sometimes,Definitely changing,A little worried,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,False
243,390,pre,2022-09-29 09:41:07,Very often,Definitely changing,Extremely worried,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,False
244,392,pre,2022-09-29 09:41:08,Sometimes,Definitely changing,A little worried,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,False
245,395,pre,2022-09-29 09:41:40,Often,Definitely changing,A little worried,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,False
246,383,pre,2022-09-29 09:42:02,Sometimes,Definitely changing,A little worried,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,False
247,396,pre,2022-09-29 09:52:22,Often,Definitely changing,A little worried,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,False
248,401,pre,2022-09-30 09:40:02,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,True
249,400,pre,2022-09-30 09:40:03,Often,Definitely changing,Very worried,Strongly disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,True
250,403,pre,2022-09-30 09:40:04,Rarely,Definitely changing,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,True
251,399,pre,2022-09-30 09:40:11,Rarely,Maybe changing,A little worried,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
252,404,pre,2022-09-30 09:40:19,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,True
253,405,pre,2022-09-30 09:40:24,Sometimes,Definitely changing,A little worried,Neutral,Strongly disagree,Agree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Agree,True
254,402,pre,2022-09-30 09:40:28,Sometimes,Definitely changing,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,True
255,408,pre,2022-09-30 09:40:35,Sometimes,Definitely changing,Very worried,Neutral,Disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
256,412,pre,2022-09-30 09:40:43,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,True
257,421,pre,2022-09-30 09:40:45,All the time,Definitely changing,A little worried,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Neutral,Agree,True
258,406,pre,2022-09-30 09:40:59,Very often,Definitely changing,Extremely worried,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,True
259,410,pre,2022-09-30 09:41:06,Rarely,Probably changing,A little worried,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
260,407,pre,2022-09-30 09:41:08,Rarely,Definitely changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,True
261,424,pre,2022-09-30 09:41:10,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,True
262,414,pre,2022-09-30 09:41:17,Sometimes,Maybe changing,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
263,417,pre,2022-09-30 09:41:21,Rarely,Definitely changing,A little worried,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,True
264,411,pre,2022-09-30 09:41:22,All the time,Definitely changing,Extremely worried,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,True
265,419,pre,2022-09-30 09:41:23,Rarely,Maybe changing,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,True
266,422,pre,2022-09-30 09:41:25,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,True
267,409,pre,2022-09-30 09:41:29,Sometimes,Probably changing,A little worried,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,True
268,423,pre,2022-09-30 09:41:57,Sometimes,Definitely changing,A little worried,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,True
269,444,pre,2022-09-30 09:41:58,Sometimes,Definitely changing,Very worried,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,True
270,426,pre,2022-09-30 09:42:07,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,True
271,413,pre,2022-09-30 09:42:11,Never,Maybe changing,Not worried at all,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,True
272,425,pre,2022-09-30 09:42:15,Sometimes,Definitely changing,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Disagree,True
273,416,pre,2022-09-30 09:42:16,Sometimes,Maybe changing,Not worried at all,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
274,418,pre,2022-09-30 09:42:19,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,True
275,415,pre,2022-09-30 09:42:24,Never,Definitely changing,Not worried at all,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,True
276,420,pre,2022-09-30 09:42:37,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,True
277,428,pre,2022-09-30 09:42:53,Never,Maybe changing,Not worried at all,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Strongly disagree,True
278,430,pre,2022-09-30 09:43:02,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,True
279,434,pre,2022-09-30 09:43:03,Sometimes,Maybe changing,A little worried,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,True
280,429,pre,2022-09-30 09:43:09,Rarely,Probably changing,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Neutral,True
281,431,pre,2022-09-30 09:43:20,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,True
282,427,pre,2022-09-30 09:43:21,Never,Maybe changing,A little worried,Disagree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,True
283,433,pre,2022-09-30 09:43:26,Sometimes,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
284,435,pre,2022-09-30 09:43:44,Never,Probably not changing,Not worried at all,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,True
285,437,pre,2022-09-30 09:43:44,Never,Probably not changing,Not worried at all,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,True
286,438,pre,2022-09-30 09:43:46,Rarely,Definitely changing,A little worried,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Neutral,True
287,436,pre,2022-09-30 09:43:49,Sometimes,Maybe changing,Not worried at all,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,True
288,432,pre,2022-09-30 09:43:50,Never,Maybe changing,Not worried at all,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,True
289,441,pre,2022-09-30 09:44:23,Very often,Definitely changing,Extremely worried,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,True
290,439,pre,2022-09-30 09:44:24,Rarely,Definitely changing,A little worried,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,True
291,440,pre,2022-09-30 09:45:53,Never,Maybe changing,Not worried at all,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,True
292,443,pre,2022-09-30 09:46:01,Rarely,Probably not changing,Not worried at all,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,True
293,442,pre,2022-09-30 09:46:02,Never,Maybe changing,A little worried,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,True
294,445,pre,2022-09-30 09:55:18,Sometimes,Definitely changing,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,True
295,1,post,2022-10-17 12:30:53,Often,Definitely changing,A little worried,Disagree,Agree,Disagree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,False
296,3,post,2022-10-17 12:33:16,Very often,Definitely changing,Extremely worried,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,False
297,4,post,2022-10-17 12:33:18,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,False
298,2,post,2022-10-17 12:33:20,Often,Definitely changing,Very worried,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,False
299,7,post,2022-10-17 12:33:24,Very often,Definitely changing,A little worried,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,False
300,9,post,2022-10-17 12:33:24,Very often,Definitely changing,Extremely worried,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,False
301,13,post,2022-10-17 12:33:25,Often,Definitely changing,A little worried,Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,False
302,19,post,2022-10-17 12:33:27,Sometimes,Definitely changing,A little worried,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,False
303,5,post,2022-10-17 12:33:28,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,False
304,18,post,2022-10-17 12:33:28,Very often,Definitely changing,Very worried,Disagree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
305,8,post,2022-10-17 12:33:32,Often,Definitely changing,Very worried,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,False
306,6,post,2022-10-17 12:33:33,Very often,Definitely changing,A little worried,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,False
307,11,post,2022-10-17 12:33:34,Sometimes,Definitely changing,A little worried,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
308,12,post,2022-10-17 12:33:36,Sometimes,Definitely changing,A little worried,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
309,16,post,2022-10-17 12:34:00,Often,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,False
310,14,post,2022-10-17 12:34:11,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Strongly agree,False
311,20,post,2022-10-17 12:34:17,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,False
312,15,post,2022-10-17 12:34:23,Sometimes,Definitely changing,A little worried,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,False
313,10,post,2022-10-17 12:34:31,Sometimes,Probably changing,A little worried,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,False
314,17,post,2022-10-17 12:34:46,Sometimes,Definitely changing,Very worried,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,False
315,21,post,2022-10-17 12:36:22,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,False
316,22,post,2022-10-17 12:37:37,Often,Definitely changing,Very worried,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,False
317,27,post,2022-10-21 11:57:13,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,False
318,25,post,2022-10-21 11:57:39,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,False
319,24,post,2022-10-21 11:57:59,Often,Definitely changing,Very worried,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,False
